Primary Interest,Secondary Interest,Tertiary Interest,Customer Number,Customer Name,Customer Type,Credit Rating,Annual Income,Account Status,MID
"Shopping","Tennis","Restaurants",100001618.000000,"BERNAU, RENATO","RESIDENTIAL",427.000000,175410.000000,"ACTIVE","Sub_S0"
"News","Gaming","Stocks",100002676.000000,"DELISA, THERSA","RESIDENTIAL",677.000000,40770.000000,"ACTIVE","Sub_S1"
"Travel","Soccer","Restaurants",100003734.000000,"ZARRINEH, ROCHELLE","RESIDENTIAL",544.000000,161660.000000,"ACTIVE","Sub_S2"
"News","Gaming","Stocks",100005022.000000,"CHENEY, JEFFERY","RESIDENTIAL",634.000000,93080.000000,"ACTIVE","Sub_S3"
"Soccer","Shopping","Restaurants",100005114.000000,"QUINCI, MARLENA","RESIDENTIAL",722.000000,38950.000000,"ACTIVE","Sub_S4"
"Travel","Stocks","News",100007000.000000,"AIUDI, TAWNYA","RESIDENTIAL",602.000000,163550.000000,"ACTIVE","Sub_S5"
"Shopping","Soccer","Tennis",100008058.000000,"KRITES, QUINTON","RESIDENTIAL",460.000000,98980.000000,"ACTIVE","Sub_S6"
"Sports","News","Restaurants",100008518.000000,"ISERI, GERALYN","RESIDENTIAL",534.000000,49320.000000,"ACTIVE","Sub_S7"
"Travel","Restaurants","Stocks",100009300.000000,"HOPPER, LYNETTE","RESIDENTIAL",517.000000,126850.000000,"ACTIVE","Sub_S8"
"News","Gaming","Stocks",100009484.000000,"COFRESI, KRYSTLE","RESIDENTIAL",685.000000,97780.000000,"ACTIVE","Sub_S9"
"Soccer","Travel","Research ",100009760.000000,"BENNET, JAME","RESIDENTIAL",575.000000,72440.000000,"ACTIVE","Sub_S10"
"Attractions","Soccer","Fun",100010864.000000,"BOARDMAN, DAN","RESIDENTIAL",476.000000,142470.000000,"ACTIVE","Sub_S11"
"News","Gaming","Stocks",100011186.000000,"HELLEN, CEDRICK","RESIDENTIAL",795.000000,69340.000000,"ACTIVE","Sub_S12"
"Travel","Stocks","News",100012796.000000,"MINARCIK, DELORSE","RESIDENTIAL",817.000000,49230.000000,"ACTIVE","Sub_S13"
"Travel","Soccer","Restaurants",100013118.000000,"LEMUS, ALLENE","RESIDENTIAL",719.000000,22650.000000,"ACTIVE","Sub_S14"
"Shopping","Soccer","Tennis",100013394.000000,"ESCARSEGA, BETHEL","RESIDENTIAL",606.000000,77450.000000,"ACTIVE","Sub_S15"
"Shopping","Tennis","Restaurants",100014498.000000,"DENKER, DANIAL","RESIDENTIAL",514.000000,51960.000000,"ACTIVE","Sub_S16"
"News","Gaming","Stocks",100015188.000000,"SPRENKEL, GENESIS","RESIDENTIAL",808.000000,89090.000000,"ACTIVE","Sub_S17"
"Travel","Soccer","Restaurants",100016154.000000,"SPEAKMAN, YVETTE","RESIDENTIAL",573.000000,178410.000000,"ACTIVE","Sub_S18"
"Sports","News","Restaurants",100016384.000000,"SADHU, ZOFIA","RESIDENTIAL",805.000000,96970.000000,"ACTIVE","Sub_S19"
"Sports","News","Shopping",100018500.000000,"WILKOFF, ISABELLA","RESIDENTIAL",519.000000,197460.000000,"ACTIVE","Sub_S20"
"Shopping","Soccer","Tennis",100018684.000000,"WMS, MAXINE","RESIDENTIAL",687.000000,104540.000000,"ACTIVE","Sub_S21"
"Shopping","News","Gaming",100018914.000000,"KOLDEN, LINN","RESIDENTIAL",531.000000,185170.000000,"ACTIVE","Sub_S22"
"Travel","Stocks","News",100020156.000000,"RUSIECKI, MATHILDE","RESIDENTIAL",563.000000,60930.000000,"ACTIVE","Sub_S23"
"Travel","Stocks","News",100020846.000000,"MCCLERKIN, ALINE","RESIDENTIAL",464.000000,133680.000000,"ACTIVE","Sub_S24"
"Travel","Soccer","Shopping",100022410.000000,"LEN, KING","RESIDENTIAL",430.000000,122060.000000,"ACTIVE","Sub_S25"
"Shopping","News","Gaming",100025308.000000,"APOSTAL, MELVINA","RESIDENTIAL",522.000000,111440.000000,"ACTIVE","Sub_S26"
"Shopping","News","Gaming",100026182.000000,"STADICK, LASHAUN","RESIDENTIAL",585.000000,71840.000000,"ACTIVE","Sub_S27"
"Stocks","News","Sports ",100026274.000000,"OHR, ELIZABETH","RESIDENTIAL",693.000000,107520.000000,"ACTIVE","Sub_S28"
"Attractions","Soccer","Fun",100027102.000000,"WOZNIAK, AUDRA","RESIDENTIAL",712.000000,183350.000000,"ACTIVE","Sub_S29"
"Soccer","Travel","Research ",100027286.000000,"MCCALLION, DELPHINE","RESIDENTIAL",503.000000,192050.000000,"ACTIVE","Sub_S30"
"News","Gaming","Stocks",100478668.000000,"SNITH, JUNIOR","RESIDENTIAL",685.000000,81920.000000,"ACTIVE","Sub_S720"
"News","Gaming","Stocks",100479266.000000,"DUMA, RASHIDA","RESIDENTIAL",476.000000,115450.000000,"ACTIVE","Sub_S721"
"Gaming","Shopping","Restaurants",100480646.000000,"TIMPONE, LEANORA","RESIDENTIAL",667.000000,59860.000000,"ACTIVE","Sub_S722"
"News","Stocks","Travel",100480692.000000,"FITZMORRIS, EVA","RESIDENTIAL",708.000000,81400.000000,"ACTIVE","Sub_S723"
"Shopping","Tennis","Restaurants",100482072.000000,"BERRY, DAVID","RESIDENTIAL",475.000000,92790.000000,"ACTIVE","Sub_S724"
"Stocks","News","Sports ",100483038.000000,"CURCI, CURTIS","RESIDENTIAL",641.000000,78730.000000,"ACTIVE","Sub_S725"
"Travel","Stocks","News",100483222.000000,"AXLEY, HOSEA","RESIDENTIAL",428.000000,7670.000000,"ACTIVE","Sub_S726"
"Travel","Soccer","Shopping",100483268.000000,"KELLY, VERNELL","RESIDENTIAL",473.000000,161020.000000,"ACTIVE","Sub_S727"
"Research","Soccer","Tennis",100484050.000000,"FINGER, HUGH","RESIDENTIAL",459.000000,101820.000000,"ACTIVE","Sub_S728"
"Travel","Stocks","News",100485062.000000,"RIVADULLA, DIRK","RESIDENTIAL",676.000000,52930.000000,"ACTIVE","Sub_S729"
"Sports","News","Shopping",100485844.000000,"SELLEY, ASA","RESIDENTIAL",647.000000,89640.000000,"ACTIVE","Sub_S730"
"Research","Soccer","Tennis",100489800.000000,"LEUY, MARISOL","RESIDENTIAL",618.000000,51300.000000,"ACTIVE","Sub_S731"
"Research","Soccer","Tennis",100489938.000000,"AXSON, KELLEY","RESIDENTIAL",757.000000,83520.000000,"ACTIVE","Sub_S732"
"Sports","News","Restaurants",100490214.000000,"SMECK, DOROTHEA","RESIDENTIAL",622.000000,45200.000000,"ACTIVE","Sub_S733"
"Travel","Restaurants","Stocks",100491410.000000,"LACZ, CORY","RESIDENTIAL",617.000000,130770.000000,"ACTIVE","Sub_S734"
"Soccer","Travel","Research ",100493342.000000,"VANSYCKLE, ANISSA","RESIDENTIAL",546.000000,18030.000000,"ACTIVE","Sub_S735"
